ruolo,nome,squadra,qt_fanta,ia,fascia_o_valore,note,sos,accoppiata,fv,pg,media,fmedia,gol,ass,amm,gol_subiti,p_med_aste,p_stat,p_gol_m,tr_media,tr_gol
D,Delprato,Parma,8,70.48,Quarta,Titolare,Bonus,Lecce Sassuolo Milan,0.6550468627542202,35,5.91,6.01,2,0,5,,3.125,4.616770288691744,3.6629406706792778,-1,-1
D,Valeri,Parma,8,70.48,Semi-Top,Bonus,Mod.,Lecce Sassuolo Milan,0.6187992596773172,34,6.06,6.09,0,2,2,,3.925,4.361297182205732,0,-1,-1
D,Koulierakis,Roma,8,70.48,jolly,,,Lazio Napoli Juventus,0. N.D,,,,,,,,2.125, Prezzo N.D.,,,
D,Comuzzo,Torino,8,70.48,titolare,Cartellini,Mod.,Juventus Lazio Lecce,0.5705622934060521,24,5.75,5.75,1,0,2,,1.625,4.021323043925856,1.8314703353396389,-1,-1
D,Couto,Como,8,70.48,Terza,Scommessa,Bonus,Fiorentina Frosinone Genoa,,,,,,,,,6.7749999999999995, Prezzo N.D.,,,
D,Theate,Bologna,8,70.48,Quarta,Titolare,Bonus,Atalanta Lecce Napoli,,,,,,,,,1.625, Prezzo N.D.,,,
D,Diego Carlos,Parma,8,70.48,Quarta,Cartellini,Mod.,Lecce Sassuolo Milan,,,,,,,,,1.175, Prezzo N.D.,,,
D,Hien,Atalanta,7,68.81,Scommessa,Cartellini,Mod.,Frosinone Bologna Cagliari,0.5857066273489531,28,5.91,5.86,1,0,5,,0.85,3.5264663899396274,1.8314703353396389,1,1
D,Lucumì,Juventus,7,68.81,jolly,Mod.,Cartellini,Torino Genoa Roma,0.5855828767539982,28,5.88,5.89,1,0,5,,4.675000000000001,3.5257213030762293,1.8314703353396389,1,1
D,Zortea,Bologna,7,68.81,Quarta,Mod.,Jolly,Atalanta Lecce Napoli,0.5759241041540493,28,5.86,5.89,0,2,2,,1.975,3.4675670405985115,0,-1,-1
D,Mina,Cagliari,7,68.81,Quarta,Titolare,Bonus,Atalanta Fiorentina Venezia,0.6016262816657514,26,6,6.17,2,1,3,,2.2,3.622316638624281,3.6629406706792778,1,1
D,Obert,Cagliari,7,68.81,Quarta,Cartellini,Titolare,Atalanta Fiorentina Venezia,0.5569451005934076,34,5.88,5.82,0,3,8,,1.05,3.353296832535333,0,-1,-1
D,Dragusin,Fiorentina,7,68.81,,,,Cagliari Como Lazio,0. N.D,,,,,,,,4.025, Prezzo N.D.,,,
D,Jimenez A.,Fiorentina,7,68.81,Semi-Top,,Cartellini,Cagliari Como Lazio,0.39827442237196997,1,5.5,5,0,0,1,,5.175,2.3979605127988344,0,-1,-1
D,Bracaglia,Frosinone,7,68.81,Quarta,Bonus,Titolare,Atalanta Como Napoli,0. N.D,,,,,,,,0.9, Prezzo N.D.,,,
D,Tavares N.,Lazio,7,68.81,jolly,Bonus,Infortuni,Roma Genoa Torino,0.5239855707808312,22,5.91,5.8,0,0,5,,2.5,3.1548516234750372,0,-1,-1
D,Gabbia,Milan,7,68.81,jolly,Mod.,Infortuni,Inter Parma Cagliari,0.5664202510082919,29,5.91,5.84,0,0,4,,1.55,3.410345528789549,0,-1,-1
D,Mangas,Monza,7,68.81,Quarta,,,Lecce Venezia Atalanta,0. N.D,,,,,,,,1.625, Prezzo N.D.,,,
D,Idzes,Sassuolo,7,68.81,Quarta,Mod.,,Inter Parma Bologna,0.6050244244595306,35,5.94,5.9,0,0,3,,1.125,3.6427764316177758,0,-1,-1
D,Coco,Torino,7,68.81,Quarta,Titolare,Mod.,Juventus Lazio Lecce,0.6337685065759565,35,5.84,5.91,1,1,3,,1.1,3.815840957030512,1.8314703353396389,1,-1
