ruolo,nome,squadra,qt_a,and_med,and_gol,rating_fv,s1_pg,s1_mv,s1_mf,s1_gf,s1_rc,s1_rpiu,s1_rmeno,s1_ass,s1_asf,s1_amm,s1_esp,s1_au,s2_pg,s2_mv,s2_mf,s2_gf,s2_rc,s2_rpiu,s2_rmeno,s2_ass,s2_asf,s2_amm,s2_esp,s2_au
D,Gabbia,Milan,7,-1,-1,0.5664202510082919,29,5.91,5.84,0,0,0,0,0,,4,0,0,25,6.04,6.2,2,0,0,0,4,,4,0,0
D,Tomori,Milan,6,1,-1,0.5539252943092114,32,5.97,5.88,0,0,0,0,1,,6,1,0,18,5.86,5.81,0,0,0,0,2,,2,1,0
D,Buongiorno,Napoli,6,-1,-1,0.5901374155213327,32,5.89,5.88,0,0,0,0,1,,3,0,0,22,6.36,6.45,1,0,0,0,2,,2,0,0
D,Idzes,Sassuolo,7,-1,-1,0.6050244244595306,35,5.94,5.9,0,0,0,0,0,,3,0,0,35,5.96,5.97,1,0,0,0,5,,5,0,0
D,Coco,Torino,7,1,-1,0.6337685065759565,35,5.84,5.91,1,0,0,0,1,,3,0,0,32,5.86,5.83,2,0,0,0,10,,10,0,1
D,Ismajli,Torino,7,-1,-1,0.5433150708616321,24,5.92,5.9,0,0,0,0,2,,5,0,0,29,6.17,6.12,0,0,0,0,3,,3,0,0
D,Kristensen T.,Atalanta,6,1,1,0.6592020150328226,28,5.98,6.23,3,0,0,0,0,,4,0,0,21,5.57,5.6,1,0,0,0,5,,5,0,0
D,Valdepenas,Fiorentina,5,,,0. N.D,,,,,,,,,,,,,,,,,,,,,,,,
D,Viery,Fiorentina,6,,,0. N.D,,,,,,,,,,,,,,,,,,,,,,,,
D,Monterisi,Frosinone,6,,,0. N.D,,,,,,,,,,,,,,,,,,,,,,,,
D,Pavard,Inter,6,1,-1,0.472389922927261,1,6.5,6.5,0,0,0,0,0,,0,0,0,22,6.05,6,0,0,0,0,4,,4,0,0
D,Mangas,Monza,7,,,0. N.D,,,,,,,,,,,,,,,,,,,,,,,,
,Ahanor,,,-1,-1,False,21,5.79,5.69,0,0,0,0,0,,2,1,0,6,6,6,0,0,0,0,0,,0,0,0
D,Bellanova,Atalanta,6,-1,-1,0.5383593983699345,22,5.82,5.82,0,0,0,0,1,,2,0,0,35,6.04,6.26,0,0,0,0,3,,3,0,0
