id,stagione,squadra,ruolo,minuti,pg,mv,mf,gf,gs,rp,rc,rpiu,rmeno,ass,amm,esp,au
4973,2024-25,Juventus,C,2334,31,5.94,6.18,2,0,0,0,0,0,3,3,0,0
4973,2025-26,Juventus,C,2857,34,6.13,6.68,5,0,0,0,0,0,6,5,0,0
4976,2024-25,Juventus,D,2330,28,6.02,6.05,1,0,0,0,0,0,0,2,1,0
4976,2025-26,Juventus,D,3281,37,6.14,6.35,2,0,0,0,0,0,4,2,1,0
4994,2024-25,Como,D,1836,27,5.96,6.04,1,0,0,0,0,0,2,6,0,0
4994,2025-26,Como,D,1602,27,6.02,6.24,2,0,0,0,0,0,1,2,0,0
5007,2024-25,Torino,C,898,16,5.91,5.97,1,0,0,0,0,0,0,4,0,0
5007,2025-26,Torino,C,414,8,6,5.88,0,0,0,0,0,0,0,2,0,0
5010,2024-25,Empoli,D,2510,29,6.17,6.12,0,0,0,0,0,0,0,3,0,0
5010,2025-26,Torino,D,1907,24,5.92,5.9,0,0,0,0,0,0,2,5,0,0
5022,2024-25,Milan,D,1866,22,5.91,6.11,2,0,0,0,0,0,1,3,1,0
5022,2025-26,Milan,D,2876,34,6.24,6.62,5,0,0,0,0,0,0,4,0,0
5036,2024-25,Como,C,1110,16,6.34,6.78,2,0,0,0,0,0,3,4,0,0
5036,2025-26,Como,C,1493,28,6.11,6.41,2,0,0,0,0,0,4,3,0,0
5116,2024-25,Inter,P,450,5,6.3,5.7,0,3,0,0,0,0,0,0,0,0
5116,2025-26,Inter,P,450,5,6,5.2,0,4,0,0,0,0,0,0,0,0
5119,2024-25,Atalanta,C,1119,28,6.09,6.25,2,0,0,0,0,0,0,3,0,0
5119,2025-26,Atalanta,C,1005,21,5.93,6.29,2,0,0,0,0,0,2,1,0,0
5131,2024-25,Napoli,C,1161,17,6,6.06,0,0,0,0,0,0,1,0,0,0
5131,2025-26,Napoli,C,798,13,6.08,6.27,1,0,0,0,0,0,0,1,0,0
5273,2025-26,Milan,D,1045,14,5.64,5.71,1,0,0,0,0,0,1,5,1,0
5295,2024-25,Milan,C,1561,26,5.69,5.67,0,0,0,0,0,0,2,5,0,0
5295,2025-26,Atalanta,C,623,16,5.94,6.09,1,0,0,0,0,0,0,1,0,0
5298,2024-25,Bologna,C,1180,20,6.05,6.25,2,0,0,0,0,0,2,4,2,0
5298,2025-26,Bologna,C,1446,23,5.83,6.17,3,0,0,0,0,0,1,2,1,0
5301,2025-26,Inter,C,1617,27,5.89,6.06,1,0,0,0,0,0,2,1,0,0
5307,2024-25,Parma,D,1559,20,5.85,5.85,1,0,0,0,0,0,0,4,1,0
5307,2025-26,Parma,D,2255,27,5.96,5.83,0,0,0,0,0,0,0,7,0,0
5319,2024-25,Parma,C,3015,37,6.03,6.26,4,0,0,0,0,0,0,7,0,0
