id,stagione,squadra,ruolo,minuti,pg,mv,mf,gf,gs,rp,rc,rpiu,rmeno,ass,amm,esp,au
4378,2024-25,Fiorentina,D,3085,36,5.92,5.96,1,0,0,0,0,0,2,7,0,0
4378,2025-26,Fiorentina,D,2489,31,5.85,5.79,1,0,0,0,0,0,0,8,1,0
4401,2024-25,Milan,D,2159,25,6.04,6.2,2,0,0,0,0,0,0,4,0,0
4401,2025-26,Milan,D,2531,29,5.91,5.84,0,0,0,0,0,0,0,4,0,0
4409,2024-25,Napoli,D,3410,38,6.14,6.17,1,0,0,0,0,0,1,2,0,1
4409,2025-26,Napoli,D,1809,21,6.24,6.45,2,0,0,0,0,0,0,3,0,0
4431,2024-25,Atalanta,P,3060,34,6.34,5.32,0,34,0,0,0,0,0,1,0,0
4431,2025-26,Atalanta,P,3330,37,6.36,5.58,0,35,2,0,0,0,0,0,0,0
4433,2024-25,Cagliari,D,2749,35,6.07,6.6,6,0,0,0,0,0,2,3,0,0
4433,2025-26,Bologna,D,1776,28,5.86,5.89,0,0,0,0,0,0,2,2,0,0
4436,2024-25,Bologna,A,581,17,6.15,6.5,1,0,0,0,0,0,3,0,0,0
4436,2025-26,Bologna,A,1510,24,5.98,6.42,3,0,0,0,0,0,4,3,1,0
4459,2024-25,Lazio,C,2747,33,6.11,6,0,0,0,0,0,0,3,13,0,0
4459,2025-26,Lazio,C,510,11,5.73,5.64,0,0,0,0,0,0,1,2,1,0
4461,2024-25,Cagliari,D,3070,36,5.75,5.86,2,0,0,0,0,0,0,4,0,0
4461,2025-26,Cagliari,D,1583,25,5.9,5.98,0,0,0,0,0,0,3,2,0,0
4463,2024-25,Empoli,A,2370,33,6.17,6.79,8,0,0,2,1,1,0,1,0,0
4463,2025-26,Cagliari,A,2751,36,6.26,6.88,7,0,0,1,1,0,4,6,0,0
4465,2024-25,Fiorentina,C,1514,24,5.92,6.04,1,0,0,0,0,0,2,4,0,0
