id,nome,prezzo_medio_per_1000,mediana_per_1000,p25,p75,n_campioni,partecipanti,fonte
4867,TURATI,1.8,,,,,,tabella_prezzi_medi_asta_seed
4870,ADOPO,2.6,,,,,,tabella_prezzi_medi_asta_seed
4871,THURAM,258.29999999999995,,,,,,tabella_prezzi_medi_asta_seed
4887,BELLANOVA,9.9,,,,,,tabella_prezzi_medi_asta_seed
4892,SAELEMAEKERS,21.5,,,,,,tabella_prezzi_medi_asta_seed
4896,MALDINI,15.7,,,,,,tabella_prezzi_medi_asta_seed
4911,DOUGLAS LUIZ,8.9,,,,,,tabella_prezzi_medi_asta_seed
4923,COLOMBO,59.3,,,,,,tabella_prezzi_medi_asta_seed
4925,CARBONI A.,2.4,,,,,,tabella_prezzi_medi_asta_seed
4947,BRESCIANINI,2.6,,,,,,tabella_prezzi_medi_asta_seed
4952,MONTERISI,3.5,,,,,,tabella_prezzi_medi_asta_seed
4957,MONTIPÒ,1.9,,,,,,tabella_prezzi_medi_asta_seed
4964,VICARIO,92.1,,,,,,tabella_prezzi_medi_asta_seed
4970,MESSIAS,2.4,,,,,,tabella_prezzi_medi_asta_seed
4973,MCKENNIE,53.699999999999996,,,,,,tabella_prezzi_medi_asta_seed
4976,KALULU,42.5,,,,,,tabella_prezzi_medi_asta_seed
4994,VOJVODA,24,,,,,,tabella_prezzi_medi_asta_seed
4998,MOLINA N.,65.10000000000001,,,,,,tabella_prezzi_medi_asta_seed
5007,ILIC,2.3,,,,,,tabella_prezzi_medi_asta_seed
5010,ISMAJLI,2.8,,,,,,tabella_prezzi_medi_asta_seed
5022,PAVLOVIC,41.6,,,,,,tabella_prezzi_medi_asta_seed
5029,GEUBBELS,12.200000000000001,,,,,,tabella_prezzi_medi_asta_seed
5036,CAQUERET,2.4,,,,,,tabella_prezzi_medi_asta_seed
5116,MARTINEZ JO.,91.39999999999999,,,,,,tabella_prezzi_medi_asta_seed
5119,SAMARDZIC,41.300000000000004,,,,,,tabella_prezzi_medi_asta_seed
5131,GILMOUR,1.8,,,,,,tabella_prezzi_medi_asta_seed
5172,JONES C.,31.7,,,,,,tabella_prezzi_medi_asta_seed
5273,ESTUPINAN,3,,,,,,tabella_prezzi_medi_asta_seed
5295,MUSAH,2.4,,,,,,tabella_prezzi_medi_asta_seed
5298,POBEGA,2.1,,,,,,tabella_prezzi_medi_asta_seed
5301,LUIS HENRIQUE,2.6,,,,,,tabella_prezzi_medi_asta_seed
5307,VALENTI,2.5,,,,,,tabella_prezzi_medi_asta_seed
5319,SOHM,2.3,,,,,,tabella_prezzi_medi_asta_seed
5320,PALEARI,2.5,,,,,,tabella_prezzi_medi_asta_seed
5336,NZOLA,3.9,,,,,,tabella_prezzi_medi_asta_seed
5365,DRAGUSIN,16.1,,,,,,tabella_prezzi_medi_asta_seed
5399,ANTOV,1.9,,,,,,tabella_prezzi_medi_asta_seed
5422,ZALEWSKI,5.5,,,,,,tabella_prezzi_medi_asta_seed
5424,AMEY,1.9,,,,,,tabella_prezzi_medi_asta_seed
5436,RAIMONDO,14.5,,,,,,tabella_prezzi_medi_asta_seed
5449,PARISI,2.2,,,,,,tabella_prezzi_medi_asta_seed
5453,RICCI S.,2.5,,,,,,tabella_prezzi_medi_asta_seed
5457,MALEH,2.6,,,,,,tabella_prezzi_medi_asta_seed
5462,CIERVO,2.2,,,,,,tabella_prezzi_medi_asta_seed
5481,MAZZOCCHI,2.5,,,,,,tabella_prezzi_medi_asta_seed
5498,CASALE,1.9,,,,,,tabella_prezzi_medi_asta_seed
5500,CANCELLIERI,4.8999999999999995,,,,,,tabella_prezzi_medi_asta_seed
5504,COULIBALY L.,2.7,,,,,,tabella_prezzi_medi_asta_seed
5507,BUSIO,5.6,,,,,,tabella_prezzi_medi_asta_seed
5514,VASQUEZ,15.9,,,,,,tabella_prezzi_medi_asta_seed
5520,CAMBIASO,22.5,,,,,,tabella_prezzi_medi_asta_seed
5526,SCALVINI,19.400000000000002,,,,,,tabella_prezzi_medi_asta_seed
5527,ZANOLI,2.3,,,,,,tabella_prezzi_medi_asta_seed
5555,KAMARA H.,12.8,,,,,,tabella_prezzi_medi_asta_seed
5559,DA CUNHA,66.69999999999999,,,,,,tabella_prezzi_medi_asta_seed
5562,THURAM K.,12.7,,,,,,tabella_prezzi_medi_asta_seed
5578,KOSSOUNOU,3.9,,,,,,tabella_prezzi_medi_asta_seed
5585,MALEN,409.7,,,,,,tabella_prezzi_medi_asta_seed
5589,KONÈ M.,34.1,,,,,,tabella_prezzi_medi_asta_seed
5603,PONGRACIC,2,,,,,,tabella_prezzi_medi_asta_seed
5620,TAVARES N.,10,,,,,,tabella_prezzi_medi_asta_seed
5637,DAVIS K.,138,,,,,,tabella_prezzi_medi_asta_seed
5641,CHALOBAH T.,32.800000000000004,,,,,,tabella_prezzi_medi_asta_seed
5674,BASIC,2.9,,,,,,tabella_prezzi_medi_asta_seed
5675,THEATE,6.5,,,,,,tabella_prezzi_medi_asta_seed
5678,HOLM,3,,,,,,tabella_prezzi_medi_asta_seed
5680,SARR P.,5.3,,,,,,tabella_prezzi_medi_asta_seed
5685,KOOPMEINERS,3.4,,,,,,tabella_prezzi_medi_asta_seed
5687,VLASIC,64.60000000000001,,,,,,tabella_prezzi_medi_asta_seed
5694,BETO,77,,,,,,tabella_prezzi_medi_asta_seed
5695,HAPS,3.8,,,,,,tabella_prezzi_medi_asta_seed
5701,OBERT,4.2,,,,,,tabella_prezzi_medi_asta_seed
5707,PIANA,1.8,,,,,,tabella_prezzi_medi_asta_seed
5725,KONE B.,1.9,,,,,,tabella_prezzi_medi_asta_seed
5734,SOULÈ,35.8,,,,,,tabella_prezzi_medi_asta_seed
5735,VOLPATO,7.3,,,,,,tabella_prezzi_medi_asta_seed
5739,DE WINTER,6.2,,,,,,tabella_prezzi_medi_asta_seed
5742,DRAMEH,2.1,,,,,,tabella_prezzi_medi_asta_seed
5750,OSTIGARD,32.7,,,,,,tabella_prezzi_medi_asta_seed
5751,PATTERSON,2.2,,,,,,tabella_prezzi_medi_asta_seed
5757,CITTADINI,2.1,,,,,,tabella_prezzi_medi_asta_seed
5761,ZHEGROVA,3.7,,,,,,tabella_prezzi_medi_asta_seed
5791,FRENDRUP,3.2,,,,,,tabella_prezzi_medi_asta_seed
5792,EDERSON D.S.,37.699999999999996,,,,,,tabella_prezzi_medi_asta_seed
5800,GUDMUNDSSON A.,37.3,,,,,,tabella_prezzi_medi_asta_seed
5812,TERRACCIANO F.,3,,,,,,tabella_prezzi_medi_asta_seed
5820,BERTOLA,2.6,,,,,,tabella_prezzi_medi_asta_seed
5823,BALDANZI,21.6,,,,,,tabella_prezzi_medi_asta_seed
5831,GATTI,2.7,,,,,,tabella_prezzi_medi_asta_seed
5833,GILA,37,,,,,,tabella_prezzi_medi_asta_seed
5838,BIRINDELLI,3.7,,,,,,tabella_prezzi_medi_asta_seed
5840,OLIVERA,3,,,,,,tabella_prezzi_medi_asta_seed
5841,SVILAR,104.7,,,,,,tabella_prezzi_medi_asta_seed
5844,THORSTVEDT,7.8,,,,,,tabella_prezzi_medi_asta_seed
5851,DOIG,3.1,,,,,,tabella_prezzi_medi_asta_seed
5858,FERGUSON,3.9,,,,,,tabella_prezzi_medi_asta_seed
5862,VALERI,15.7,,,,,,tabella_prezzi_medi_asta_seed
5872,HELGASON,2.8,,,,,,tabella_prezzi_medi_asta_seed
