id,titolarita,accordo,presenze_web,fonti,ballottaggio_con,ballottaggio_pct,rigorista,stato,rientro_stimato,partite_saltate,fuori_lista
6207,0.42,0.16,21.2,2,,,,,,,0
6212,0.143,0.714,16.8,1,,,,,,,0
6215,0.24,0.52,17.3,1,,,,,,,0
6217,0.6,0.2,23.6,2,2514,,,,,,0
6218,0.22,0.56,18.0,1,,,,,,,0
6219,0.0,1.0,13.7,0,,,,problema al ginocchio,2026-09-28,2,0
6225,0.0,1.0,14.1,0,,,,lesione del bicipite femorale,2026-09-18,1,0
6229,1.0,1.0,30.1,4,,,1,,,,0
6238,0.4,0.2,20.2,1,,,,,,,0
6241,0.0,1.0,14.5,0,,,,,,,0
6243,0.0,1.0,0.0,0,,,,,,,1
6244,0.0,1.0,0.0,0,,,,,,,1
6245,0.0,1.0,0.0,0,,,,,,,1
6246,0.4,0.2,20.9,1,,,,,,,0
6248,1.0,1.0,34.1,4,,,,,,,0
6252,1.0,1.0,30.4,4,,,,,,,0
6271,0.0,1.0,0.0,0,,,,,,,1
6274,0.6,0.2,24.0,2,,,,,,,0
6294,0.84,0.68,27.9,4,,,,,,,0
6320,0.657,0.314,24.6,3,7580,69,,,,,0
6344,0.02,0.96,2.9,1,,,,,,,0
6372,0.429,0.143,21.3,2,,,,,,,0
6397,1.0,1.0,30.1,5,,,1,,,,0
6398,0.457,0.086,21.8,3,5800|2038,45|68,,,,,0
6403,0.02,0.96,2.9,1,,,,,,,0
6410,0.0,1.0,14.5,0,,,,,,,0
6415,1.0,1.0,34.1,4,,,,,,,0
6424,0.0,1.0,0.0,0,,,,,,,1
6426,0.0,1.0,0.0,0,,,,,,,1
6434,0.286,0.429,13.8,2,,,1,"frattura del quinto metatarso, operato",2026-11-27,9,0
6435,0.24,0.52,17.3,1,2137,,,,,,0
6462,0.971,0.943,33.2,5,,,,,,,0
6482,0.829,0.657,28.6,4,,,,,,,0
6485,0.76,0.52,26.3,4,5578,74,,,,,0
6495,1.0,1.0,30.4,4,,,,,,,0
6496,0.586,0.171,23.4,3,5273,,,,,,0
6503,0.1,0.8,16.1,1,,,,,,,0
6506,0.6,0.2,24.0,2,5998,,,,,,0
6519,0.086,0.829,14.6,1,,,,,,,0
6523,0.0,1.0,0.0,0,,,,,,,1
6530,0.4,0.2,20.0,2,,,,,,,0
6531,0.84,0.68,27.7,4,,,,,,,0
6534,1.0,1.0,34.1,4,,,,,,,0
6537,0.62,0.24,23.9,3,,,,,,,0
6549,0.971,0.943,29.9,5,7619,,3,,,,0
6556,0.171,0.657,16.1,1,,,,,,,0
6569,0.02,0.96,2.9,1,,,,,,,0
6572,0.24,0.52,17.3,1,,,,,,,0
6592,0.4,0.2,20.9,1,,,,,,,0
6593,0.4,0.2,20.9,1,,,,,,,0
6598,0.0,1.0,0.0,0,,,,,,,1
6601,0.1,0.8,15.1,1,,,,,,,0
6618,0.457,0.086,21.8,2,4892,,,,,,0
6629,0.0,1.0,14.1,0,,,,guaio muscolare alla gamba,2026-09-15,1,0
6631,0.16,0.68,16.1,1,,,,,,,0
6632,0.971,0.943,29.9,5,,,,,,,0
6638,0.4,0.2,20.2,1,,,,,,,0
6640,0.143,0.714,6.2,1,,,,rottura del legamento crociato anteriore,2027-03-07,24,0
6641,0.0,1.0,0.0,0,,,,,,,1
6642,1.0,1.0,30.4,4,,,,,,,0
6643,0.0,1.0,0.0,0,,,,,,,1
6646,0.4,0.2,20.0,1,5888,18,,,,,0
6650,0.003,0.994,2.4,1,,,,,,,0
6659,0.4,0.2,20.2,1,,,,,,,0
6660,1.0,1.0,30.4,4,,,,,,,0
6662,1.0,1.0,34.1,4,7411,58,,,,,0
6663,0.0,1.0,0.0,0,,,,,,,1
6664,1.0,1.0,30.4,4,,,,,,,0
6666,0.6,0.2,24.0,3,,,1,problema fisico,2026-09-11,0,0
6669,0.16,0.68,15.9,1,,,,,,,0
6671,0.004,0.992,2.4,1,,,,,,,0
6672,1.0,1.0,30.4,4,,,,,,,0
6673,0.0,1.0,11.6,0,,,,"problema all anca, operato",2026-10-27,5,0
6675,0.64,0.28,24.0,3,4359,,2,,,,0
6677,0.8,0.6,27.2,3,7036|5844,74|,,,,,0
6678,0.16,0.68,17.0,1,,,,,,,0
6680,0.971,0.943,29.9,5,,,,,,,0
6681,0.1,0.8,15.1,1,,,,,,,0
6682,0.0,1.0,0.0,0,,,,,,,1
6684,0.971,0.943,29.9,5,,,,,,,0
6717,0.0,1.0,10.7,0,,,,rottura di tibia e perone,2026-12-05,10,0
6727,1.0,1.0,30.4,4,,,,,,,0
6752,0.314,0.371,18.5,2,5951,,2,,,,0
6766,0.171,0.657,16.3,1,6042,,,,,,0
6783,0.543,0.086,23.1,2,,,,,,,0
6809,0.0,1.0,10.6,0,,,,lesione di alto grado del collaterale mediale,2026-11-10,8,0
6813,0.003,0.994,2.4,1,,,,,,,0
6814,0.0,1.0,0.0,0,,,,,,,1
6815,0.171,0.657,17.2,1,6010,,,,,,0
6821,0.6,0.2,23.6,2,4845|5481,68|,,,,,0
6822,0.0,1.0,11.5,0,,,,lesione del semitendinoso,2026-10-27,5,0
6826,0.1,0.8,15.1,1,,,,,,,0
