nome_maiuscolo,prezzo_medio_per_1000_crediti
GAGLIARDINI,1
JUAN JESUS,2.2
BETO,77
MBANGULA,3.9
SARR P.,5.3
GHIDOTTI,1.7
DIEGO CARLOS,4.7
SUGAWARA,1.9
JOVANOVIC,1
ZEBALLOS,3.8
WOLTEMADE,135.3
GNONTO,4.1000000000000005
BRAGANCA,2
PATTERSON,2.2
DRAMEH,2.1
GOGLICHIDZE,1
SANCHEZ RO.,5.8
GONCALVES P.,32
FERNANDEZ T.,2.2
NZOLA,3.9
ROBINHO JUNIOR,0
