fonte,squadra,modulo,posto,giocatore,ruolo,pct
fantacalcio.it,Sassuolo,4-3-3,6,Adzic,C,100
fantacalcio.it,Sassuolo,4-3-3,7,Matic,C,100
fantacalcio.it,Sassuolo,4-3-3,8,Lipani,C,100
fantacalcio.it,Sassuolo,4-3-3,9,Volpato,C,100
fantacalcio.it,Sassuolo,4-3-3,10,Bowie,A,100
fantacalcio.it,Sassuolo,4-3-3,11,Laurientè,A,100
fantacalcio.it,Sassuolo,4-3-3,12,Turati,P,5
fantacalcio.it,Sassuolo,4-3-3,13,Satalino,P,1
fantacalcio.it,Sassuolo,4-3-3,14,Van Der Brempt,D,50
fantacalcio.it,Sassuolo,4-3-3,15,Obrador,D,60
fantacalcio.it,Sassuolo,4-3-3,16,Caleta-Car,D,35
fantacalcio.it,Sassuolo,4-3-3,17,Odenthal,D,25
fantacalcio.it,Sassuolo,4-3-3,18,Dominguez B.,C,40
fantacalcio.it,Sassuolo,4-3-3,19,Thorstvedt,C,60
fantacalcio.it,Sassuolo,4-3-3,20,Sulemana I.,C,30
fantacalcio.it,Sassuolo,4-3-3,21,Bakola,C,55
fantacalcio.it,Sassuolo,4-3-3,22,Berardi,A,55
fantacalcio.it,Sassuolo,4-3-3,23,Esposito Se.,A,60
fantacalcio.it,Sassuolo,4-3-3,24,Kulla,A,10
fantacalcio.it,Juventus,4-2-3-1,1,Vicario,P,100
fantacalcio.it,Juventus,4-2-3-1,2,Kalulu,D,100
fantacalcio.it,Juventus,4-2-3-1,3,Bremer,D,100
fantacalcio.it,Juventus,4-2-3-1,4,Lucumì,D,100
fantacalcio.it,Juventus,4-2-3-1,5,Celik,D,100
fantacalcio.it,Juventus,4-2-3-1,6,Locatelli,C,100
fantacalcio.it,Juventus,4-2-3-1,7,Douglas Luiz,C,100
fantacalcio.it,Juventus,4-2-3-1,8,Conceicao,C,100
fantacalcio.it,Juventus,4-2-3-1,9,Gonzalez N.,C,100
fantacalcio.it,Juventus,4-2-3-1,10,Alajbegovic,C,100
fantacalcio.it,Juventus,4-2-3-1,11,Kolo Muani,A,100
fantacalcio.it,Juventus,4-2-3-1,12,Grabara,P,5
fantacalcio.it,Juventus,4-2-3-1,13,Pinsoglio,P,1
fantacalcio.it,Juventus,4-2-3-1,14,Kelly L.,D,60
fantacalcio.it,Juventus,4-2-3-1,15,Rugani,D,25
fantacalcio.it,Juventus,4-2-3-1,16,Gatti,D,35
fantacalcio.it,Juventus,4-2-3-1,17,Koopmeiners,C,60
fantacalcio.it,Juventus,4-2-3-1,18,Zhegrova,C,50
fantacalcio.it,Juventus,4-2-3-1,19,Boga,A,60
fantacalcio.it,Juventus,4-2-3-1,20,Woltemade,A,60
fantacalcio.it,Juventus,4-2-3-1,21,Milik,A,30
fantacalcio.it,Milan,3-4-2-1,1,Maignan,P,100
fantacalcio.it,Milan,3-4-2-1,2,Gila,D,100
fantacalcio.it,Milan,3-4-2-1,3,De Winter,D,100
fantacalcio.it,Milan,3-4-2-1,4,Pavlovic,D,100
fantacalcio.it,Milan,3-4-2-1,5,Moreira,C,100
fantacalcio.it,Milan,3-4-2-1,6,Modric,C,100
fantacalcio.it,Milan,3-4-2-1,7,Musah,C,100
fantacalcio.it,Milan,3-4-2-1,8,Estupinan,D,100
fantacalcio.it,Milan,3-4-2-1,9,Rabiot,C,100
fantacalcio.it,Milan,3-4-2-1,10,Saelemaekers,C,100
fantacalcio.it,Milan,3-4-2-1,11,Ramos G.,A,100
fantacalcio.it,Milan,3-4-2-1,12,Terracciano,P,5
fantacalcio.it,Milan,3-4-2-1,13,Torriani,P,1
fantacalcio.it,Milan,3-4-2-1,14,Tomori,D,25
fantacalcio.it,Milan,3-4-2-1,15,Terracciano F.,D,25
fantacalcio.it,Milan,3-4-2-1,16,Bartesaghi,D,55
fantacalcio.it,Milan,3-4-2-1,17,Diawara S.,D,20
fantacalcio.it,Milan,3-4-2-1,18,Chukwueze,C,60
fantacalcio.it,Milan,3-4-2-1,19,Jashari,C,55
fantacalcio.it,Milan,3-4-2-1,20,Cissè A.,C,60
fantacalcio.it,Milan,3-4-2-1,21,Hutchinson,C,40
fantacalcio.it,Milan,3-4-2-1,22,Pulisic,C,50
fantacalcio.it,Milan,3-4-2-1,23,Loftus-Cheek,C,60
fantacalcio.it,Milan,3-4-2-1,24,Camarda,A,30
fantacalcio.it,Cagliari,4-4-2,1,Caprile,P,90
fantacalcio.it,Cagliari,4-4-2,2,Zè Pedro,D,90
fantacalcio.it,Cagliari,4-4-2,3,Deiola,C,90
fantacalcio.it,Cagliari,4-4-2,4,Rodriguez Ju.,D,90
fantacalcio.it,Cagliari,4-4-2,5,Obert,D,90
fantacalcio.it,Cagliari,4-4-2,6,Adopo,C,90
fantacalcio.it,Cagliari,4-4-2,7,Winks,C,90
fantacalcio.it,Cagliari,4-4-2,8,Romano,C,90
fantacalcio.it,Cagliari,4-4-2,9,Fazzini,C,90
fantacalcio.it,Cagliari,4-4-2,10,Maldini,A,90
fantacalcio.it,Cagliari,4-4-2,11,Mendy P.,A,90
fantacalcio.it,Cagliari,4-4-2,12,Radunovic,P,5
fantacalcio.it,Cagliari,4-4-2,13,Sherri,P,1
fantacalcio.it,Cagliari,4-4-2,14,Aurelio,D,25
fantacalcio.it,Cagliari,4-4-2,15,Kofler,D,35
fantacalcio.it,Cagliari,4-4-2,16,Liteta,C,20
fantacalcio.it,Cagliari,4-4-2,17,Ciervo,C,60
fantacalcio.it,Cagliari,4-4-2,18,Felici,C,50
fantacalcio.it,Cagliari,4-4-2,19,Gagliardini,C,55
fantacalcio.it,Cagliari,4-4-2,20,Fadera,C,60
fantacalcio.it,Cagliari,4-4-2,21,Massolin,C,55
fantacalcio.it,Lecce,4-3-3,1,Falcone,P,90
fantacalcio.it,Lecce,4-3-3,2,Veiga D.,D,90
fantacalcio.it,Lecce,4-3-3,3,Gaspar K.,D,90
fantacalcio.it,Lecce,4-3-3,4,Tiago Gabriel,D,80
fantacalcio.it,Lecce,4-3-3,5,Gallo,D,80
fantacalcio.it,Lecce,4-3-3,6,Coulibaly L.,C,90
fantacalcio.it,Lecce,4-3-3,7,Ilic,C,60
fantacalcio.it,Lecce,4-3-3,8,Gorter,C,55
fantacalcio.it,Lecce,4-3-3,9,Pierotti,C,90
fantacalcio.it,Lecce,4-3-3,10,Stulic,A,90
fantacalcio.it,Lecce,4-3-3,11,Monteiro J.,C,55
fantacalcio.it,Lecce,4-3-3,12,Penev,P,5
fantacalcio.it,Lecce,4-3-3,13,Bleve,P,1
fantacalcio.it,Lecce,4-3-3,14,Ndaba,D,40
fantacalcio.it,Lecce,4-3-3,15,Dembelè A.,D,35
fantacalcio.it,Lecce,4-3-3,16,Siebert,D,50
fantacalcio.it,Lecce,4-3-3,17,Jean,D,20
fantacalcio.it,Lecce,4-3-3,18,Maleh,C,60
fantacalcio.it,Lecce,4-3-3,19,Gandelman,C,35
fantacalcio.it,Lecce,4-3-3,20,Fofana Sa.,C,30
fantacalcio.it,Lecce,4-3-3,21,Ngom,C,60
fantacalcio.it,Lecce,4-3-3,22,Berisha M.,C,40
fantacalcio.it,Lecce,4-3-3,23,N'Dri,A,60
fantacalcio.it,Lecce,4-3-3,24,Fatah,A,55
fantacalcio.it,Udinese,3-4-2-1,1,Okoye,P,90
fantacalcio.it,Udinese,3-4-2-1,2,Abankwah,D,80
fantacalcio.it,Udinese,3-4-2-1,3,Kabasele,D,80
fantacalcio.it,Udinese,3-4-2-1,4,Solet,D,90
